ProgrammeID,ProgrammeName,Airing_Language,Genre,Subgenre,Airing_Channel,ChannelLanguage,Airing_Date,Airing_Time
30000000550830006,Gamata Pitiyak Live,Sinhala,TV Show,Entertainment,SLK ITN,Sinhala,2021-03-02,04:00:00
30000000550830011,Megha Warsha,Sinhala,TV Show,Entertainment,SLK ITN,Sinhala,2021-03-03,05:00:00
30000000550829487,Alluring Okinawa,Japanese,TV Show,Special Report,Indo NHK World Japan,English,2021-03-03,06:00:00
30000000550829978,Sanremo 71 - Festival Della Canzone Italiana 2021,Italian,TV Show,Events/Festivals,Indo Rai Italia,Italian,2021-03-03,07:00:00
30000000550806781,Roadies Real Heroes Auditions,Hindi,TV Show,Reality Show,MTV International,Hindi,2021-03-03,08:00:00
30000000550830007,Hirimal Sawariya,Sinhala,TV Show,Entertainment,SLK ITN,Sinhala,2021-03-03,09:00:00
30000000549889353,Tech Toys 360,English,TV Show,Technology,WOA MBC Action,English,2021-03-04,10:00:00
30000000550829573,Caccia Al Ladro D'autore,Italian,TV Show,Action,WOA Rai 1,Italian,2021-03-04,11:00:00
30000000550829163,Cooking For You,Chinese,TV Show,Cooking,WOA Straits TV,Chinese,2021-03-04,12:00:00
30000000550829840,Collaborate To Innovate,English,TV Show,Special Report,AF CNBC Africa,English,2021-03-04,13:00:00
30000000550829136,Chornaya Lestnitsa,Russian,TV Show,Detective,WOA Channel 5 Russia,Russian,2021-03-04,14:00:00
30000000549841122,Isang Gabi Sa Piling Mo,Filipino,TV Show,Drama,PH Sari Sari,Filipino,2021-03-02,15:00:00
30000000549998995,Saya Terima Nikahnya,English,TV Show,Sitcom,Indo MTV Asia,English,2021-03-02,16:00:00
30000000550288667,Prima Festival,Italian,TV Show,Special Report,Indo Rai Italia,Italian,2021-03-02,17:00:00
30000000549814573,Bad Luck Membawa Cinta,Indonesian,TV Show,Drama,Indo RCTI TV,Indonesian,2021-03-02,18:00:00
30000000550550818,Ngao Rak Luang Chai,Thai,TV Show,Drama,TH 3HD,Thai,2021-03-02,19:00:00
30000000550678600,Unavoidable Topic,Japanese,TV Show,Special Report,Indo NHK World Premium,Japanese,2021-03-02,20:00:00
30000000550504711,La Khumthraphy Prisna,Thai,TV Show,Drama,TH Amarin TV HD,Thai,2021-03-02,21:00:00
30000000550512656,Fragrance Collection,English,TV Show,Consumer,TH TJC Choice,English,2021-03-02,22:00:00
30000000550627764,Shadows Of Fear,English,TV Show,Drama,TH Talking Pictures TV,English,2021-03-02,23:00:00
30000000550551535,Monday Late Night Show,Japanese,TV Show,Reality Show,INDO GEM TV,Japanese,2021-03-02,00:00:00
30000000550829923,Introducing Altenew,English,TV Show,Consumer,TH Hochanda,English,2021-03-02,01:00:00
30000000550719159,Ariyoshi Seminar,Japanese,TV Show,Reality Show,INDO GEM TV,Japanese,2021-03-02,02:00:00
30000000550829885,Putu Bikin I Love You,Indonesian,TV Show,Entertainment,Indo RCTI TV,Indonesian,2021-03-02,03:00:00
30000000550828881,Sabrina Washington's Slaying Boss Women,English,TV Show,Entertainment,TH Chart Show TV,English,2021-03-02,04:00:00
30000000549841142,Iskrip,Filipino,TV Show,Drama,PH Sari Sari,Filipino,2021-03-03,05:00:00
30000000550477208,Padang Rumput Kedamaian,Indonesian,TV Show,Drama,Indo DAAI,Indonesian,2021-03-03,07:00:00
30000000550499640,Diamond Collection,English,TV Show,Consumer,TH TJC,English,2021-03-03,08:00:00
